state,year,gdp
MS,2010,11296942.907
MS,2011,11557690.507
MS,2012,12070134.490777778
MS,2013,12343411.174222223
MS,2014,12633725.60111111
MS,2015,12805399.322444445
MS,2016,12955472.062666666
MS,2017,13249928.344444444
MS,2018,13599444.44477778
MS,2019,13934238.915555555
MS,2020,13619429.380888889
MS,2021,15187731.40622222
MS,2022,16981195.790444445
MS,2023,18112912.51311111
MS,2024,18923192.656999998
MS,2025,72635.3675
MT,1997,2581577.2115
MT,1998,2411910.755222222
MT,1999,2441594.1514444444
MT,2000,2576683.9976666663
MT,2001,2667253.6157777775
MT,2002,2812007.2502222224
MT,2003,3025102.8915555556
MT,2004,3311353.4146666666
MT,2005,3613155.8833333333
MT,2006,3892769.9708888885
MT,2007,4249936.73
MT,2008,4357615.228
MT,2009,4228024.917777778
MT,2010,4472751.268888889
MT,2011,4768293.423555556
MT,2012,4956489.506222222
MT,2013,5124337.064111111
MT,2014,5323843.449666667
MT,2015,5463580.005111111
MT,2016,5379783.239666667
MT,2017,5678391.855555556
MT,2018,6011883.792333333
MT,2019,6197373.377666667
MT,2020,5984002.453888889
MT,2021,6882863.928666666
MT,2022,8054959.159555556
MT,2023,8726989.900888888
MT,2024,9187865.348444443
MT,2025,36106.872
NC,1997,31211271.685625
NC,1998,29162213.152111113
NC,1999,31262461.92622222
NC,2000,32770906.538555555
NC,2001,33816319.30588889
NC,2002,35120945.49966666
NC,2003,36651029.28777778
NC,2004,38895289.66833333
NC,2005,41891487.35422222
NC,2006,45847899.163777776
NC,2007,47406447.55577777
NC,2008,49498220.800222225
NC,2009,49133028.557000004
NC,2010,50207420.95033333
NC,2011,51063274.71666667
NC,2012,52684450.41866667
NC,2013,54606469.87488889
NC,2014,57168376.758666664
NC,2015,60131805.95033333
NC,2016,62442413.997666664
NC,2017,64607215.91111112
NC,2018,67117844.954
NC,2019,69915372.719
NC,2020,69112222.91055554
NC,2021,76483948.81088889
NC,2022,85799751.61188889
NC,2023,93180313.88877778
NC,2024,98714896.92844445
NC,2025,394070.79874999996
ND,1997,2111070.255875
ND,1998,1972080.4448888889
ND,1999,1966994.142
ND,2000,2071710.0341111112
ND,2001,2177039.5453333333
ND,2002,2371801.415666667
ND,2003,2578859.134333333
ND,2004,2727748.173
ND,2005,2858160.323666667
ND,2006,3099869.097888889
ND,2007,3399803.4825555556
ND,2008,3719143.9742222223
ND,2009,3765371.3368888893
ND,2010,4129480.9171111113
ND,2011,4876751.333000001
ND,2012,6109658.603666667
ND,2013,6418576.138444444
ND,2014,7212977.319888889
ND,2015,6758645.003222222
ND,2016,6223815.606888888
ND,2017,6690225.733333333
ND,2018,7139758.834777777
ND,2019,7181105.843555556
ND,2020,6382061.291999999
ND,2021,7482967.561444445
ND,2022,8824633.054
ND,2023,9200956.619888889
ND,2024,9492856.865888888
ND,2025,36386.529500000004
NE,1997,6646206.64175
NE,1998,6087403.864
NE,1999,6244489.481333334
NE,2000,6576677.082444444
NE,2001,6944360.296111111
NE,2002,7254868.201222222
NE,2003,7837159.207666667
NE,2004,8319014.237
NE,2005,8784044.982
NE,2006,9332793.242555555
NE,2007,9943464.786444446
NE,2008,10153138.204666667
NE,2009,10269947.127222223
NE,2010,10823701.872666666
NE,2011,11799196.26177778
NE,2012,12076765.22411111
NE,2013,12577551.232555555
NE,2014,13251829.095333334
NE,2015,13787472.399444444
NE,2016,14019012.638222223
NE,2017,14472596.377777778
NE,2018,15047753.620666666
NE,2019,15560252.581
NE,2020,15345569.870333334
NE,2021,17325768.588333335
NE,2022,19616042.146555558
NE,2023,21455402.66866667
NE,2024,22186905.699333332
NE,2025,87102.2515
NH,1997,5107828.9945
NH,1998,4842272.399444444
NH,1999,5041648.245333333
NH,2000,5424240.991666666
NH,2001,5590153.814222222
NH,2002,5840507.198888889
NH,2003,6157903.416444444
NH,2004,6510644.843555556
NH,2005,6787252.553555556
NH,2006,7158122.542555556
NH,2007,7368907.291444444
NH,2008,7378262.511222223
NH,2009,7498988.73811111
NH,2010,7744633.507000001
NH,2011,7905625.9441111125
NH,2012,8134225.87311111
NH,2013,8439013.745333334
NH,2014,8769025.527777778
NH,2015,9239653.445333334
NH,2016,9528174.450444445
NH,2017,9732052.077777779
NH,2018,10057637.393666666
NH,2019,10476817.890444444
NH,2020,10230421.853777777
NH,2021,11528486.792333333
NH,2022,12654910.251333334
NH,2023,13531787.784
NH,2024,14141221.770333333
NH,2025,55629.8585
NJ,1997,41630733.243625
NJ,1998,38448571.11822222
NJ,1999,40407703.87511111
NJ,2000,43314059.53266667
NJ,2001,44759212.46288889
NJ,2002,46259870.460222214
NJ,2003,48152554.72066667
NJ,2004,50124019.98488888
NJ,2005,52613923.965444446
NJ,2006,55339675.02111111
NJ,2007,57448167.048999995
NJ,2008,59503184.38211111
NJ,2009,58025743.532222226
NJ,2010,59256315.657111116
NJ,2011,59796468.32766667
NJ,2012,62333873.56944445
NJ,2013,64601105.228555545
NJ,2014,65922270.46822222
NJ,2015,68428645.44777778
NJ,2016,69886070.28722222
NJ,2017,71408295.1
NJ,2018,75098210.33866666
NJ,2019,78249531.71633333
NJ,2020,74648013.08033334
NJ,2021,82515673.83999999
NJ,2022,91650075.40011112
NJ,2023,97340217.38233334
NJ,2024,102079061.7268889
NJ,2025,393854.2535
NM,1997,7029985.46825
NM,1998,6023240.494555556
NM,1999,6288852.224888889
NM,2000,6551343.092444445
NM,2001,6619644.146
NM,2002,6848551.692777778
NM,2003,7434717.967222222
NM,2004,8354983.033111112
NM,2005,8745187.10911111
NM,2006,9265888.367222223
NM,2007,9660974.156
NM,2008,10056409.188555555
NM,2009,9800013.105111113
NM,2010,10033674.092222221
NM,2011,10282523.805444444
NM,2012,10402602.441555556
NM,2013,10547210.474222222
NM,2014,11044198.074222222
NM,2015,10823771.512777777
NM,2016,10773477.646777779
NM,2017,11129382.155555556
NM,2018,11865861.819555555
NM,2019,12499679.250222223
NM,2020,11838830.149222221
NM,2021,13454458.821444444
NM,2022,15670137.26711111
NM,2023,16792260.885333333
NM,2024,17799538.946222223
NM,2025,68440.41375
NV,1997,8153795.382999999
NV,1998,7849245.364222222
NV,1999,8629051.317555556
NV,2000,9274811.594444444
NV,2001,9713578.382555556
NV,2002,10279168.237777777
NV,2003,10935565.038666667
NV,2004,12544915.677888889
NV,2005,14161892.825444443
NV,2006,15260412.196777778
NV,2007,15918340.25011111
NV,2008,15764164.210555553
NV,2009,14778020.263444444
NV,2010,15122939.354111113
NV,2011,15559239.027222224
NV,2012,15707043.334999999
NV,2013,16165200.941333333
NV,2014,16567254.948333332
NV,2015,17630167.02877778
NV,2016,18643782.81033333
NV,2017,19783204.97777778
NV,2018,21009820.55922222
NV,2019,22397990.451333333
NV,2020,20649666.94111111
NV,2021,23731553.122111112
NV,2022,28088801.16188889
NV,2023,30545715.062222224
NV,2024,32398930.061666667
NV,2025,123124.75925
NY,1997,95823555.616875
NY,1998,88521750.37322222
NY,1999,94198367.87122223
NY,2000,99426734.456
NY,2001,103624234.85155556
NY,2002,104825304.84600002
NY,2003,108052846.22288889
NY,2004,114388051.46988888
NY,2005,120936828.17755556
NY,2006,128372337.73833333
NY,2007,133592002.84677778
NY,2008,132392648.41544443
NY,2009,137671798.967
NY,2010,145632254.43455556
NY,2011,149061986.60533333
NY,2012,158281012.5988889
