year,state,policy_change,description,policy_type,direction,intensity,sector,bill_id,level
2009,United States,Make appropriations for the Legislative Branch for fiscal year 2010.,Make appropriations for the Legislative Branch for fiscal year 2010.,spending,expansionary,high,business,policy_event_41,federal
2009,United States,Make appropriations for the departments of Transportation and Housing and Urb...,"Make appropriations for the departments of Transportation and Housing and Urban Development for fiscal year 2010, subsequently amended with an omnibus package providing fiscal 2010 funding for departments and agencies covered by five unfinished spending .",spending,expansionary,high,business,policy_event_42,federal
2009,United States,Make further continuing appropriations for fiscal year 2009.,Make further continuing appropriations for fiscal year 2009.,spending,expansionary,high,business,policy_event_43,federal
2009,United States,Make omnibus appropriations for fiscal year 2009.,Make omnibus appropriations for fiscal year 2009.,spending,expansionary,high,business,policy_event_44,federal
2009,United States,Make supplemental appropriations for fiscal year 2009.,Make supplemental appropriations for fiscal year 2009.,spending,expansionary,high,business,policy_event_45,federal
2009,United States,"Make supplemental appropriations for job preservation and creation, infrastru...","Make supplemental appropriations for job preservation and creation, infrastructure investment, energy efficiency and science, assistance to the unemployed, and state and local fiscal stabilization for fiscal year 2009.",spending,expansionary,high,business,policy_event_46,federal
2010,United States,Make supplemental appropriations for the U.S. Patent and Trademark Office for...,"Make supplemental appropriations for the U.S. Patent and Trademark Office for the fiscal year ending Sept. 30, 2010.",regulation,expansionary,high,business,policy_event_47,federal
2010,United States,Make continuing appropriations for fiscal year 2011.,Make continuing appropriations for fiscal year 2011.,spending,expansionary,high,business,policy_event_48,federal
2010,United States,Make further continuing appropriations for fiscal year 2011.,Make further continuing appropriations for fiscal year 2011.,spending,expansionary,high,business,policy_event_49,federal
2010,United States,Making further continuing appropriations for fiscal year 2011.,Making further continuing appropriations for fiscal year 2011.,spending,expansionary,high,business,policy_event_50,federal
2011,United States,"Make appropriations for disaster relief for the fiscal year ending Sept. 30,...","Make appropriations for disaster relief for the fiscal year ending Sept. 30, 2012.",regulation,expansionary,high,business,policy_event_51,federal
2011,United States,"Make consolidated appropriations for the Departments of Agriculture, Commerce...","Make consolidated appropriations for the Departments of Agriculture, Commerce, Justice, Transportation, and Housing and Urban Development and for related programs for the fiscal year ending Sept. 30, 2012.",spending,expansionary,high,business,policy_event_52,federal
2011,United States,Make continuing appropriations for fiscal 2012.,Make continuing appropriations for fiscal 2012.,spending,expansionary,high,business,policy_event_53,federal
2011,United States,Make further continuing appropriations for fiscal 2011.,Make further continuing appropriations for fiscal 2011.,spending,expansionary,high,business,policy_event_54,federal
2011,United States,Make further continuing appropriations for fiscal 2012.,Make further continuing appropriations for fiscal 2012.,spending,expansionary,high,business,policy_event_55,federal
2011,United States,Make further continuing appropriations for fiscal year 2011.,Make further continuing appropriations for fiscal year 2011.,spending,expansionary,high,business,policy_event_56,federal
